,name,clouds,countries,dates,humidity,latitude,longitude,max temp,windiness
0,Vao,100,EE,1562786575,86,59.1,26.19,12.78,4.5
1,Biak,100,ID,1562752538,97,-0.91,122.88,17.18,2.01
2,Saskylakh,0,RU,0,72,71.97,114.09,16.98,5.11
3,Ushuaia,40,AR,1562703779,93,-54.81,-68.31,2.0,2.1
4,Mount Isa,90,AU,1562746513,42,-20.73,139.49,18.0,4.1
5,Khatanga,100,RU,0,88,71.98,102.47,9.58,2.59
6,Bluff,86,AU,1562743887,91,-23.58,149.07,15.48,0.84
7,Touros,20,BR,1562703710,83,-5.2,-35.46,25.0,3.1
8,Norman Wells,40,CA,1562742384,42,65.28,-126.83,19.0,3.1
9,Tasiilaq,40,GL,1562721595,81,65.61,-37.64,6.0,4.6
10,Bowen,90,AU,1562744490,88,-20.01,148.25,19.44,1.0
11,Hermanus,0,ZA,1562687214,98,-34.42,19.24,12.78,6.63
12,Shingu,95,JP,1562753351,97,33.72,135.99,18.08,1.58
13,Devils Lake,90,US,1562726145,83,48.11,-98.87,21.0,3.1
14,Hambantota,23,LK,1562763257,82,6.12,81.12,28.08,5.51
15,Ribeira Grande,20,PT,1562707271,83,38.52,-28.7,23.0,6.2
16,Bethel,90,US,1562746345,88,60.79,-161.76,23.0,4.1
17,Malanje,15,AO,1562690839,25,-9.54,16.35,17.08,1.11
18,Cape Town,0,ZA,1562687483,93,-33.93,18.42,13.33,2.6
19,Fairbanks,75,US,1562746737,30,64.84,-147.72,27.78,3.1
20,Saint George,40,GR,1562781569,57,39.45,22.34,29.44,0.9
21,Clyde River,1,CA,0,58,70.47,-68.59,15.0,4.1
22,Barrow,0,AR,1562705689,67,-38.31,-60.23,11.08,2.4
23,Nhulunbuy,33,AU,1562748077,93,-12.18,136.78,19.0,4.44
24,Punta Arenas,90,CL,1562704947,100,-53.16,-70.91,3.0,1.5
25,Ponta do Sol,0,BR,1562704631,56,-20.63,-46.0,14.98,2.37
26,Yellowknife,90,CA,1562736224,58,62.45,-114.38,14.0,4.6
27,Port Macquarie,0,AU,1562741976,87,-31.43,152.91,6.0,3.1
28,Pangnirtung,40,CA,1562729477,76,66.15,-65.72,13.0,2.1
29,Puerto Ayora,75,EC,1562717326,61,-0.74,-90.35,26.0,8.7
30,Muros,75,ES,1562703367,93,42.77,-9.06,22.22,3.1
31,Tiksi,10,RU,0,75,71.64,128.87,14.98,5.73
32,Busselton,31,AU,1562750685,62,-33.64,115.35,13.89,7.66
33,Pisco,90,PE,1562712627,30,-13.71,-76.2,22.0,4.1
34,Rikitea,37,PF,1562725705,83,-23.12,-134.97,23.08,6.8
35,Mataura,100,NZ,1562735634,97,-46.19,168.86,3.89,0.89
36,Araouane,56,ML,1562698521,20,18.9,-3.53,37.48,2.65
37,Calabozo,88,VE,1562712790,87,8.92,-67.43,26.68,2.18
38,Avera,90,US,1562719322,88,33.19,-82.53,35.0,2.86
39,Dharchula,70,IN,1562766100,94,29.85,80.53,12.08,0.87
40,Saint-Pierre,0,FR,1562701632,55,48.95,4.24,18.0,3.1
41,Meulaboh,100,ID,1562759457,77,4.14,96.13,27.38,2.43
42,Atuona,33,PF,1562728110,74,-9.8,-139.03,26.98,4.65
43,Mezen,56,RU,1562788624,84,65.85,44.24,7.18,4.23
44,Nanortalik,100,GL,1562717989,66,60.14,-45.24,8.08,2.12
45,Albany,40,US,1562718863,33,42.65,-73.75,30.56,3.1
46,Gorele,75,TR,1562777866,78,41.03,39.0,24.0,3.6
47,Kodiak,1,US,1562723380,52,39.95,-94.76,33.89,3.1
48,Tuktoyaktuk,75,CA,0,47,69.44,-133.03,15.0,2.1
49,Cavalcante,0,BR,1562705720,45,-13.79,-47.46,17.78,3.1
50,Hobart,75,AU,1562741481,81,-42.88,147.33,10.0,2.6
51,Saint-Philippe,40,CA,1562719384,33,45.36,-73.48,31.11,4.6
52,Cabo San Lucas,5,MX,1562724516,29,22.89,-109.91,36.11,3.1
53,Duldurga,2,RU,1562762250,71,50.67,113.59,12.88,0.51
54,Lagoa,0,PT,1562702174,77,37.14,-8.45,21.67,4.6
55,Kununurra,0,AU,1562749633,77,-15.77,128.74,15.0,2.6
56,Plouzane,0,FR,1562703605,59,48.38,-4.62,18.89,3.1
57,Kapaa,40,US,1562736277,74,22.08,-159.32,29.0,5.7
58,Upernavik,5,GL,0,80,72.79,-56.15,5.68,10.66
59,Poum,33,MK,1562695926,82,41.28,20.71,15.48,0.88
60,Pascagoula,75,US,1562720360,66,30.37,-88.56,34.0,6.7
61,Chuy,100,UY,1562704775,86,-33.69,-53.46,11.18,2.96
62,Boa Vista,40,BR,1562710554,55,2.82,-60.67,31.0,1.0
63,Rundu,0,NA,1562689143,20,-17.91,19.77,18.0,1.5
64,Nikolskoye,90,RU,1562785813,82,59.7,30.79,13.89,2.0
65,Taybad,0,IR,1562771555,23,34.74,60.78,25.68,5.81
66,Malindi,25,KE,1562772175,88,-3.22,40.12,23.08,4.02
67,Kisangani,62,CD,1562689713,93,0.52,25.21,21.58,0.34
68,Xapuri,40,BR,1562711094,52,-10.65,-68.5,31.0,2.1
69,Mayo,40,CA,1562742433,32,63.59,-135.9,21.0,3.6
70,Lorengau,99,PG,1562746574,85,-2.02,147.27,25.18,2.5
71,Nuuk,75,GL,1562722897,87,64.17,-51.74,8.0,6.2
72,Los Llanos de Aridane,3,ES,1562703174,73,28.66,-17.92,22.0,6.2
73,Ilulissat,20,GL,0,46,69.22,-51.1,12.0,1.5
74,Farap,0,TM,1562771619,36,39.18,63.61,26.0,4.1
75,Shouguang,91,CN,1562757995,86,36.88,118.73,23.33,2.52
76,Airai,1,TL,1562751136,78,-8.93,125.41,19.28,2.12
77,Jamestown,0,AU,1562745164,64,-33.21,138.6,7.58,5.09
78,Hopelchen,40,MX,1562719336,62,19.77,-89.85,32.0,5.1
79,Hilo,75,US,1562734984,69,19.71,-155.08,27.22,2.6
80,Huarmey,0,PE,1562713469,87,-10.07,-78.15,17.08,6.66
81,Komsomolskiy,98,RU,0,79,67.55,63.78,7.48,3.19
82,Narsaq,100,GL,1562718683,24,60.91,-46.05,19.0,8.7
83,Mama,75,MX,1562719300,44,20.48,-89.36,37.22,1.68
84,Gushikawa,75,JP,1562754275,88,26.35,127.87,28.0,7.7
85,Novyy Urgal,100,RU,1562757819,93,51.07,132.56,18.78,0.37
86,Laguna,40,BZ,1562718716,70,16.17,-88.94,31.0,6.2
87,Kahului,40,US,1562735453,62,20.89,-156.47,32.0,7.2
88,Broome,75,GB,1562703357,82,52.47,1.45,18.33,4.1
89,Nipawin,1,CA,1562728960,46,53.36,-104.02,23.0,3.1
90,Vaini,96,IN,1562765802,86,15.34,74.49,25.48,4.49
91,Bud,20,NO,1562707552,87,62.91,6.91,16.0,6.2
92,Cayenne,20,GF,1562708764,70,4.94,-52.33,30.0,3.6
93,Graham,90,US,1562723164,59,33.11,-98.59,36.0,4.1
94,Rajkot,99,IN,1562767472,90,22.3,70.8,30.0,8.57
95,Kaputa,99,ZM,1562687752,48,-8.47,29.66,17.78,0.74
96,Ancud,90,CL,1562708334,100,-41.87,-73.83,11.0,4.6
97,Nizhnevartovsk,0,RU,1562775607,93,60.93,76.58,12.0,2.0
98,Ust-Omchug,98,RU,1562758230,80,61.13,149.63,12.28,2.31
99,Teya,75,MX,1562719297,44,21.05,-89.07,37.22,4.43
100,Mahoba,100,IN,1562765657,86,25.29,79.88,26.38,4.51
101,Anito,70,PH,1562753303,94,12.45,125.29,23.28,1.4
102,Havre-Saint-Pierre,75,CA,1562718267,45,50.23,-63.6,19.0,5.1
103,Jiangyou,96,CN,1562760565,82,31.78,104.73,15.68,1.46
104,Masallatah,0,LY,1562696073,37,32.62,14.0,29.08,3.28
105,Kruisfontein,0,ZA,1562685958,87,-34.0,24.73,10.78,1.01
106,Bagarji,1,PK,1562768645,37,27.76,68.75,35.78,7.07
107,Juarez,0,AR,1562707429,45,-38.95,-67.92,17.0,2.1
108,Beringovskiy,0,RU,1562752642,62,63.05,179.32,16.98,2.69
109,East London,0,ZA,1562685335,90,-33.02,27.91,11.18,1.55
110,Makakilo City,40,US,1562735896,74,21.35,-158.09,31.67,4.6
111,Port Alfred,0,ZA,1562685498,93,-33.59,26.89,13.89,1.34
112,Bambous Virieux,20,MU,1562766176,94,-20.34,57.76,21.67,2.1
113,Soyo,40,AO,1562692136,74,-6.13,12.37,27.0,1.5
114,Necochea,0,AR,1562705292,80,-38.55,-58.74,13.89,0.89
115,Chokurdakh,94,RU,0,46,70.62,147.9,20.98,3.41
116,Burnie,100,AU,1562742161,87,-41.05,145.91,11.67,5.36
117,Babstovo,60,RU,1562757012,96,48.12,132.48,19.88,2.8
118,Samana,75,EC,1562714199,78,0.12,-76.97,25.0,0.5
119,Punta Alta,0,AR,1562706179,50,-27.46,-55.82,25.0,2.1
120,Inta,96,RU,1562785223,92,66.04,60.13,7.38,4.22
121,Katsuura,75,JP,1562753741,94,33.93,134.5,23.0,1.5
122,Archidona,40,EC,1562714299,78,-0.91,-77.81,27.0,1.5
123,Lichuan,22,CN,1562759345,91,30.3,108.94,16.78,1.5
124,Mahebourg,20,MU,1562766183,94,-20.41,57.7,21.67,2.1
125,Palmas Bellas,20,PA,1562715860,88,9.23,-80.09,26.0,5.05
126,Morros,40,BR,1562706000,83,-2.87,-44.04,27.0,3.1
127,Cherskiy,8,RU,0,42,68.75,161.3,23.48,3.98
128,Sabang,32,PH,1562754448,97,13.8,121.11,22.88,1.05
129,Bredasdorp,0,ZA,1562687006,93,-34.53,20.04,9.0,1.0
130,Hasaki,75,JP,1562752504,93,35.73,140.83,17.78,3.6
131,San Patricio,0,PY,1562706482,84,-26.98,-56.83,17.68,1.97
132,Trinidad,20,BO,1562709798,51,-14.83,-64.9,30.0,1.5
133,Qaqortoq,100,GL,1562718550,24,60.72,-46.03,19.0,8.7
134,Dikson,100,RU,0,98,73.51,80.55,0.48,4.16
135,Wysokie Mazowieckie,100,PL,1562698457,90,52.92,22.51,14.44,6.2
136,Helena,1,US,1562728924,46,46.59,-112.04,21.0,3.6
137,Lebu,40,ET,1562773717,82,8.96,38.73,16.0,4.1
138,Houma,100,CN,1562759560,58,35.63,111.36,21.38,0.2
139,Kuching,75,MY,1562755791,94,1.56,110.34,24.0,0.5
140,Salalah,75,OM,1562770877,88,17.01,54.1,28.0,2.6
141,Codrington,90,AU,1562742226,100,-28.95,153.24,8.89,2.6
142,Sisimiut,53,GL,0,94,66.94,-53.67,4.28,4.21
143,Karratha,99,AU,1562751947,38,-20.74,116.85,19.38,2.69
144,Saint Anthony,40,US,1562728241,28,43.97,-111.68,24.44,2.1
145,Avarua,20,CK,1562731880,73,-21.21,-159.78,25.0,4.1
146,Makokou,43,GA,1562692684,93,0.56,12.85,20.78,1.07
147,Healesville,75,AU,1562742832,76,-37.65,145.52,11.67,4.6
148,Qaanaaq,100,GL,0,84,77.48,-69.36,4.18,1.85
149,Ballina,100,IE,1562706474,86,54.11,-9.15,17.22,1.34
150,Kodyma,84,UA,1562781800,81,48.1,29.13,11.11,2.81
151,Georgetown,40,GY,1562710350,79,6.8,-58.16,29.0,5.1
152,Kaitangata,100,NZ,1562735377,87,-46.28,169.85,5.56,0.45
153,Kilindoni,0,TZ,1562771818,79,-7.91,39.67,25.98,8.62
154,Wukari,100,NG,1562694152,90,7.87,9.78,23.18,3.22
155,Prieska,0,ZA,1562687035,45,-29.67,22.74,10.38,0.86
156,Nome,1,US,1562721720,56,30.04,-94.42,36.11,3.47
157,Balaipungut,88,ID,1562757914,94,1.11,101.31,23.88,1.22
158,Balikpapan,98,ID,1562753950,99,-1.24,116.86,21.58,1.74
159,Aripuana,12,BR,1562709354,42,-9.17,-60.63,31.98,0.74
160,Thompson,75,CA,1562728389,40,55.74,-97.86,23.0,2.1
161,Adrar,0,DZ,1562698837,6,27.87,-0.29,42.0,2.6
162,Bani Walid,0,LY,1562695947,26,31.76,14.0,28.38,3.14
163,Jackson,40,US,1562727915,49,43.48,-110.76,22.22,5.55
164,Fort Nelson,75,CA,1562735791,42,58.81,-122.69,18.0,2.1
165,Kavieng,100,PG,1562745673,82,-2.57,150.8,25.88,1.72
166,Geraldton,75,CA,1562723722,57,49.72,-86.95,26.0,6.2
167,Yuli,100,CN,1562759146,96,24.82,106.77,18.98,0.28
168,Victoria,75,BN,1562754984,94,5.28,115.24,24.0,1.5
169,Port-Gentil,90,GA,1562693534,88,-0.72,8.78,25.0,2.6
170,Ostrovnoy,100,RU,0,96,68.05,39.51,4.58,7.41
171,Bell Ville,85,AR,1562707142,65,-32.63,-62.69,14.98,2.51
172,Aberfeldy,0,GB,1562706224,88,56.62,-3.87,17.0,4.6
173,Mar del Plata,0,AR,1562705896,70,-46.43,-67.52,7.68,1.74
174,Souillac,0,FR,1562701954,29,45.6,-0.6,24.0,3.6
175,Batagay,0,RU,0,70,67.65,134.64,18.78,1.38
176,Kumluca,0,TR,1562779132,39,36.37,30.29,21.08,2.98
177,College,75,US,1562746783,30,64.86,-147.8,27.78,3.1
178,Caravelas,54,BR,1562703336,64,-17.73,-39.27,21.68,4.97
179,Tshikapa,0,CD,1562690086,27,-6.42,20.79,22.88,1.33
180,Esperance,90,AU,1562749083,87,-33.86,121.89,10.0,5.7
181,Zangakatun,5,AM,1562776190,40,39.82,45.04,22.0,3.1
182,Mayumba,44,GA,1562692816,89,-3.44,10.65,22.48,3.09
183,Bazaliya,3,UA,1562782872,84,49.71,26.47,11.28,4.77
184,Davila,98,PH,1562755084,77,18.47,120.58,28.48,10.28
185,Alugan,70,PH,1562753233,94,12.22,125.48,23.28,1.4
186,Poya,24,NC,1562740281,70,-21.35,165.16,19.48,5.07
187,Mlimba,0,TZ,1562772658,77,-8.78,35.81,17.08,1.87
188,Chipiona,0,PE,1562712301,52,-14.54,-75.2,21.28,6.54
189,Grand Gaube,20,MU,1562766237,94,-20.01,57.66,21.67,2.1
190,Butaritari,37,KI,1562740951,72,3.07,172.79,28.48,1.47
191,Muromtsevo,23,RU,1562773482,97,56.37,75.24,9.58,2.37
192,Elko,1,US,1562728584,16,40.83,-115.76,30.56,4.1
193,Belmonte,0,PT,1562702483,74,40.36,-7.35,22.78,1.34
194,Kuala Kedah,75,MY,1562758655,94,6.11,100.29,26.0,1.05
195,Sao Joao da Barra,0,BR,1562703329,53,-21.64,-41.05,22.0,4.1
196,Fare,22,PF,1562730272,77,-16.7,-151.02,25.08,6.08
197,Udachnyy,0,RU,1562773718,67,66.42,112.4,15.0,3.0
198,Gotsu,90,JP,1562754456,90,35.01,132.22,22.38,4.11
199,Rio Gallegos,75,AR,1562705001,100,-51.62,-69.22,4.0,0.5
200,Diu,91,IN,1562767243,77,20.71,70.98,27.78,6.57
201,Iqaluit,40,CA,1562726452,38,63.75,-68.52,23.0,6.2
202,Fortuna,90,US,1562730556,82,40.6,-124.16,23.33,4.6
203,Sur,100,OM,1562770209,51,22.57,59.53,30.58,7.44
204,Vetlanda,0,SE,1562702050,100,57.43,15.09,13.33,1.5
205,Tual,79,ID,1562749699,82,-5.67,132.75,25.68,10.2
206,Palatka,2,RU,1562757244,68,60.1,150.94,14.08,1.59
207,Chitrakonda,100,IN,1562764285,94,18.12,82.08,22.88,3.11
208,Kalianget,25,ID,1562755014,89,-7.35,109.91,18.98,1.01
209,Namibe,85,AO,1562691264,87,-15.19,12.15,19.58,2.19
210,Zacatepec,21,MX,1562721328,50,20.06,-98.01,20.78,6.2
211,Lengshuijiang,1,CN,1562758385,94,27.66,111.45,16.98,1.07
212,Arraial do Cabo,0,BR,1562703409,60,-22.97,-42.02,21.0,5.1
213,Taltal,87,CL,1562709954,80,-25.41,-70.49,13.38,2.11
214,Chivay,5,PE,1562711320,42,-15.64,-71.6,6.78,3.55
215,Khalkhal,0,IR,1562774964,65,37.62,48.53,13.08,3.5
216,Kysyl-Syr,76,RU,1562767041,88,63.9,122.77,18.78,0.66
217,Kommunisticheskiy,86,RU,1562779039,76,61.68,64.48,10.88,1.59
218,Show Low,1,US,1562726082,17,34.25,-110.03,31.67,5.1
219,Teberda,14,RU,1562777691,96,43.44,41.74,5.28,3.54
220,Havelock,20,US,1562718231,58,34.88,-76.9,30.0,4.6
221,Mahon,40,IE,1562705531,82,51.89,-8.4,15.0,2.6
222,Gazli,0,UZ,1562771830,12,40.13,63.45,28.58,5.28
223,Severo-Kurilsk,94,RU,1562752051,95,50.68,156.12,6.38,5.06
224,Leningradskiy,74,RU,0,69,69.38,178.42,11.18,3.51
225,Provideniya,0,RU,1562838550,43,64.42,-173.23,22.0,4.0
226,Arman,44,RU,1562757188,66,59.7,150.17,15.38,1.45
227,Beloha,0,MG,1562768668,77,-25.17,45.06,16.18,2.11
228,Brownsville,20,US,1562721909,47,25.91,-97.49,36.0,6.7
229,Brooks,53,CA,1562729951,58,50.57,-111.89,21.11,1.79
230,Itaguacu,46,BR,1562703490,82,-19.8,-40.86,13.68,1.98
231,Castro,90,CL,1562708203,100,-42.48,-73.76,11.0,4.6
232,Yulara,0,AU,1562748030,45,-25.24,130.99,7.0,2.6
233,Villamontes,0,BO,1562708754,50,-21.26,-63.47,25.0,0.51
234,Guadalupe y Calvo,100,MX,1562724204,73,26.09,-106.96,20.58,0.83
235,La Palma,15,CO,1562714100,71,5.36,-74.39,26.68,1.75
236,Hauterive,90,CA,1562719090,49,49.18,-68.27,20.0,2.1
237,Tessalit,49,ML,1562697580,33,20.2,1.01,32.28,5.0
238,Port Elizabeth,1,US,1562718517,65,39.31,-74.98,32.22,4.6
239,Kaseda,90,JP,1562754372,88,31.42,130.32,23.0,2.1
240,Ayan,40,IR,1562775988,66,38.23,44.7,12.08,2.03
241,Krasnoarmeysk,0,RU,1562782270,77,56.12,38.15,15.0,4.0
242,Praia da Vitoria,20,PT,1562706917,83,38.73,-27.07,23.0,4.01
243,Haines Junction,96,CA,1562740504,31,60.75,-137.51,19.98,2.07
244,Hithadhoo,7,MV,1562764521,72,-0.6,73.08,28.78,4.91
245,Haapsalu,90,EE,1562787126,93,58.95,23.55,12.78,5.1
246,Ambon,0,FR,1562702896,59,47.55,-2.56,21.11,3.6
247,Ariquemes,0,BR,1562709856,46,-9.91,-63.03,30.28,1.05
248,Ilo,90,PE,1562711043,77,-17.65,-71.34,17.0,1.5
249,Montalvo,0,ES,1562702067,56,40.62,-5.41,23.33,2.6
250,Cidreira,60,BR,1562704485,83,-30.17,-50.22,12.68,2.35
251,Manali,11,IN,1562767242,95,32.25,77.19,5.48,0.47
252,Ifakara,11,TZ,1562772514,68,-8.13,36.68,20.78,1.58
253,Abha,5,SA,1562773795,43,18.22,42.5,23.0,2.22
254,Candelaria,32,PH,1562754388,97,13.93,121.42,22.88,1.05
255,Omboue,100,GA,1562693335,87,-1.57,9.26,22.88,4.83
256,Sladkovo,0,RU,1562774305,94,55.53,70.34,11.58,2.76
257,Viamao,0,BR,1562704689,55,-30.08,-51.02,19.0,1.5
258,Piacabucu,16,BR,1562703420,88,-10.41,-36.43,23.48,4.14
259,Rome,0,IT,1562698021,57,41.89,12.48,28.33,2.6
260,Klaksvik,100,FO,1562710203,81,62.23,-6.59,10.0,7.7
261,Abu Samrah,0,SY,1562777306,53,35.3,37.18,23.78,3.08
262,Hervey Bay,90,AU,1562742775,87,-25.3,152.85,15.56,2.1
263,Kolarovo,100,BG,1562781380,77,44.02,26.88,18.28,1.39
264,Pirovskoye,99,RU,1562769973,77,57.63,92.27,15.08,1.59
265,Longyearbyen,0,NO,0,81,78.22,15.63,9.0,4.6
266,Jumla,99,NP,1562765626,97,29.28,82.18,13.38,0.72
267,Mubi,69,NG,1562693562,89,10.27,13.26,21.78,1.27
268,Trairi,1,BR,1562704815,73,-3.28,-39.27,24.58,1.57
269,Shieli,0,KZ,1562771851,17,44.18,66.74,29.68,5.14
270,Torbay,40,CA,1562714960,49,47.66,-52.73,21.67,8.7
271,Saldanha,4,PT,1562702494,46,41.42,-6.55,22.58,1.37
272,Nisia Floresta,20,BR,1562703561,83,-6.09,-35.21,27.0,3.1
273,Keuruu,75,FI,1562789021,76,62.26,24.71,11.67,3.1
274,Samarai,70,PG,1562744902,88,-10.62,150.67,21.68,2.49
275,Prince Rupert,90,CA,1562735616,82,54.32,-130.32,16.0,3.6
276,Vardo,40,US,1562719235,51,39.62,-77.74,31.0,3.1
277,Santa Maria,0,BR,1562705617,33,-16.02,-48.01,25.0,4.1
278,Aurangabad,100,IN,1562766102,81,19.87,75.33,24.28,5.15
279,Monrovia,75,LR,1562698935,88,6.33,-10.8,26.0,5.03
280,Lhokseumawe,92,ID,1562759316,95,5.18,97.15,21.98,1.09
281,New Norfolk,75,AU,1562741565,81,-42.78,147.06,10.0,2.6
282,Goderich,83,CA,1562721001,71,43.74,-81.71,28.89,0.62
