,name,clouds,countries,dates,humidity,latitude,longitude,max temp,windiness
283,Alice Springs,0,AU,1562747519,45,-23.7,133.88,6.0,2.6
284,Lubuagan,65,PH,1562754816,92,17.35,121.18,16.48,0.92
285,Guerrero Negro,0,MX,1562726148,83,27.97,-114.04,18.88,5.84
286,Jimenez,40,PA,1562716337,70,8.54,-82.37,30.0,4.6
287,Berlevag,75,NO,0,81,70.86,29.09,7.0,4.1
288,Palmer,0,AU,1562744791,87,-34.85,139.16,9.44,4.6
289,Springdale,75,US,1562722575,58,36.19,-94.13,33.89,3.1
290,San Pedro de Ycuamandiyu,0,PY,1562706893,59,-24.09,-57.08,22.08,2.23
291,Koungheul,83,SN,1562700686,56,13.98,-14.8,31.08,6.37
292,Carberry,90,CA,1562726742,93,49.87,-99.36,19.0,5.7
293,Vestmannaeyjar,100,IS,1562714571,71,63.44,-20.27,12.28,9.04
294,Constantine,40,DZ,1562698431,38,36.36,6.61,25.0,1.0
295,Carnarvon,0,ZA,1562687008,44,-30.97,22.13,11.28,2.55
296,Port Moresby,20,PG,1562745860,100,-9.47,147.16,21.0,2.6
297,Ulladulla,0,AU,1562741997,81,-35.36,150.48,8.89,5.1
298,Waverley,20,AU,1562742026,70,-33.9,151.26,9.0,4.1
299,Ciudad Bolivar,52,VE,1562711777,60,8.12,-63.55,30.98,0.94
300,Harper,1,US,1562722913,62,30.3,-99.24,36.0,2.6
301,Riverton,1,US,1562727248,18,43.02,-108.38,26.0,8.7
302,Tullamore,0,AU,1562743092,88,-32.63,147.57,4.58,1.54
303,Vila Franca do Campo,20,PT,1562706347,88,37.72,-25.43,21.0,1.5
304,Tucupita,25,VE,1562711513,73,9.06,-62.05,28.58,4.22
305,Namatanai,84,PG,1562745171,79,-3.66,152.44,24.88,0.98
306,Mount Gambier,40,AU,1562743941,81,-37.83,140.78,9.0,7.7
307,Coihaique,75,CL,1562707174,87,-45.58,-72.07,9.0,0.86
308,Padang,99,ID,1562757942,78,-0.92,100.36,28.08,4.53
309,Spirovo,42,RU,1562783609,92,57.42,34.99,10.18,0.86
310,Borovoy,100,RU,1562783111,73,63.23,52.89,12.38,3.44
311,Ugleuralskiy,100,RU,1562778966,90,58.95,57.58,13.89,0.89
312,Caohai,100,CN,1562760003,93,26.87,104.28,12.08,0.65
313,Comodoro Rivadavia,0,AR,1562706009,76,-45.87,-67.48,11.0,1.0
314,Seoul,20,KR,1562756132,68,37.57,126.98,22.0,2.1
315,Sao Miguel do Araguaia,32,BR,1562706421,32,-13.28,-50.16,27.78,1.09
316,Koumac,0,NC,1562740581,60,-20.56,164.28,19.88,6.04
317,Ashqelon,0,IL,1562777385,83,31.67,34.57,26.11,2.1
318,Sao Filipe,60,CV,1562703112,82,14.9,-24.5,23.08,8.44
319,Champerico,40,MX,1562719857,52,16.38,-93.6,31.0,1.5
320,Mirabad,0,IR,1562770493,15,28.27,61.33,22.48,3.14
321,Dalaba,98,GN,1562699728,97,10.69,-12.25,21.48,0.83
322,De Aar,0,ZA,1562686599,47,-30.65,24.01,10.08,1.72
323,Port Lincoln,0,AU,1562745603,73,-34.72,135.86,15.68,12.99
324,Sarkand,100,KZ,1562768965,63,45.41,79.91,19.68,3.36
325,Sitka,0,US,1562724063,64,37.17,-99.65,31.11,1.79
326,Canmore,75,CA,1562730937,63,51.09,-115.35,18.89,5.1
327,Aberdeen,90,US,1562731845,82,46.98,-123.82,23.0,2.47
328,Mecca,15,SA,1562774802,33,21.43,39.83,28.88,2.22
329,Pozo Colorado,0,PY,1562707376,60,-23.49,-58.8,22.88,2.69
330,Van,40,TR,1562776356,45,38.51,43.37,19.0,0.5
331,Itaituba,31,BR,1562708731,68,-4.26,-55.99,28.28,1.43
332,Ingham,100,AU,1562745142,98,-18.65,146.16,17.98,0.73
333,Sorland,0,NO,0,87,67.67,12.69,12.0,4.6
334,Yinchuan,0,CN,1562761273,44,38.48,106.21,18.78,2.8
335,Lompoc,75,US,1562728646,77,34.64,-120.46,25.0,3.1
336,Suez,0,EG,1562691244,62,29.97,32.54,25.68,4.48
337,Liusha,0,CN,1562759013,95,27.21,108.59,15.78,0.36
338,Lavrentiya,0,RU,1562839645,32,65.58,-170.99,21.08,2.74
339,Bouca,100,CF,1562691974,97,6.51,18.28,21.38,1.66
340,Colares,20,PT,1562702702,88,38.8,-9.45,21.67,8.7
341,Bontang,92,ID,1562753938,96,0.12,117.47,22.38,0.88
342,Helong,100,CN,1562757040,98,25.94,116.13,21.48,0.9
343,Khani,75,GE,1562777097,88,41.96,42.96,21.0,1.5
344,Takoradi,100,GH,1562696619,94,4.89,-1.75,22.48,1.56
345,Binzhou,100,CN,1562758264,88,37.38,117.96,23.33,2.08
346,Tiznit,0,MA,1562701350,84,29.7,-9.73,19.78,11.77
347,Viedma,0,AR,1562705924,63,-40.81,-62.99,11.08,2.65
348,Santa Maria da Vitoria,12,BR,1562704977,45,-13.39,-44.19,21.38,2.14
349,Arlit,64,NE,1562695882,18,18.74,7.39,36.58,1.86
350,Flin Flon,75,CA,1562728965,36,54.77,-101.88,24.0,2.6
351,Popondetta,90,PG,1562745672,96,-8.77,148.24,17.48,0.82
352,Canubing,70,PH,1562754394,67,13.36,121.14,26.58,2.19
353,Borogontsy,100,RU,1562763844,97,62.67,131.17,15.88,2.66
354,Lapeer,1,US,1562721242,39,43.05,-83.32,30.0,1.5
355,Ola,1,RU,1562756847,80,59.58,151.3,9.98,0.92
356,Onega,78,RU,1562787343,77,63.91,38.09,10.58,5.84
357,Barsovo,0,RU,1562776589,100,61.17,73.17,10.0,2.0
358,Asosa,61,ET,1562774839,90,10.07,34.53,18.08,1.83
359,Oktyabrskiy,0,RU,1562782101,76,55.61,37.97,15.0,1.0
360,Vilyuysk,49,RU,1562767154,78,63.75,121.63,19.48,1.89
361,Tulle,75,FR,1562701310,88,45.27,1.77,19.44,0.5
362,Vagur,93,FO,1562709670,86,61.47,-6.81,10.08,8.95
363,Sandakan,75,MY,1562754348,100,5.84,118.12,23.0,1.0
364,Kloulklubed,90,PW,1562750595,94,7.04,134.26,25.0,2.1
365,Ambilobe,22,MG,1562769032,82,-13.19,49.05,22.18,2.15
366,Saint-Joseph,0,FR,1562699686,83,43.56,6.97,28.0,1.0
367,Novotroitskaya,0,RU,1562778161,52,45.36,41.53,18.89,4.0
368,Karaton,20,ID,1562756029,61,-6.34,106.1,27.22,5.7
369,Andijan,40,UZ,1562769808,77,40.76,72.37,23.33,3.09
370,Rodrigues Alves,40,BR,1562712383,62,-7.74,-72.65,29.0,2.1
371,Mehtar Lam,75,AF,1562769282,49,34.67,70.21,33.0,3.6
372,Gayeri,99,BF,1562696875,70,12.65,0.49,25.88,0.91
373,Tura,84,RU,1562772860,79,64.27,100.22,13.18,2.37
374,Portel,40,BR,1562707719,85,-1.94,-50.82,26.28,1.19
375,Atar,0,MR,1562700991,10,20.52,-13.05,38.18,8.2
376,Patterson,1,US,1562729268,35,37.47,-121.13,31.0,2.6
377,Ruza,0,RU,1562782565,71,55.7,36.19,14.0,3.0
378,Boende,100,CD,1562690674,92,-0.28,20.88,22.58,1.0
379,Kamenka,36,MD,1562781885,81,48.03,28.7,11.11,2.64
380,Kone,100,MM,1562761259,84,21.12,96.11,24.68,7.6
381,Roald,20,NO,1562707449,87,62.58,6.12,16.0,6.2
382,Shagonar,0,RU,1562767473,65,51.54,92.92,15.78,1.18
383,Hanmer Springs,100,NZ,1562735427,93,-42.52,172.83,1.28,2.3
384,Terrak,79,NO,1562708753,87,65.09,12.37,11.0,1.0
385,Gawler,0,AU,1562744927,87,-34.6,138.75,9.44,4.6
386,Muzhi,99,RU,1562782918,82,65.4,64.7,10.38,2.89
387,Batticaloa,100,LK,1562763280,81,7.71,81.69,25.78,1.21
388,Saucillo,22,MX,1562724056,24,28.03,-105.29,33.08,2.7
389,Vorotynets,3,RU,1562780396,96,56.06,45.86,12.08,2.16
390,Lawrence,40,US,1562723317,52,38.97,-95.24,34.44,4.1
391,El Guamo,100,CO,1562714716,78,10.03,-74.98,26.28,1.95
392,Quatre Cocos,20,MU,1562766191,94,-20.21,57.76,21.67,2.1
393,Somerset,1,US,1562718058,33,41.77,-71.13,31.11,2.6
394,Kampong Chhnang,100,KH,1562758231,75,12.25,104.67,26.58,0.79
395,Tlapacoyan,50,MX,1562721124,73,19.96,-97.21,25.68,1.84
396,Puerto del Rosario,20,ES,1562702178,64,28.5,-13.86,23.0,8.2
397,Llangefni,100,GB,1562705008,87,53.26,-4.31,18.33,5.1
398,Kedougou,75,SN,1562699909,74,12.56,-12.19,30.0,2.2
399,Sechura,15,PE,1562714562,84,-5.56,-80.82,18.68,6.6
400,High Rock,20,BS,1562717391,62,26.63,-78.28,32.0,4.1
401,Pitimbu,20,BR,1562703327,69,-7.47,-34.81,27.0,4.6
402,Rio Grande,0,BR,1562704683,82,-32.03,-52.1,13.0,2.6
403,Newport,90,GB,1562704141,82,51.59,-3.0,21.11,2.6
404,Brae,100,GB,1562707629,87,60.4,-1.35,12.0,5.1
405,Chernyshkovskiy,51,RU,1562778741,60,48.42,42.23,16.68,3.59
406,Aflao,20,TG,1562696036,83,6.12,1.19,26.0,4.1
407,Moron,97,HT,1562715457,68,18.56,-74.26,28.28,1.82
408,San Quintin,69,PH,1562754995,90,17.54,120.52,22.58,1.66
409,Bonfim,67,GY,1562710409,54,3.36,-59.84,30.98,2.96
410,Ketchikan,90,US,1562736330,82,55.34,-131.65,16.0,5.1
411,Japura,67,ID,1562757528,96,-0.42,102.29,22.98,0.86
412,Moose Factory,90,CA,1562722655,78,51.26,-80.61,23.0,2.1
413,Kajaani,0,FI,1562790170,87,64.22,27.73,9.0,1.0
414,Nova Borova,69,UA,1562782634,93,50.69,28.64,11.88,5.05
415,Ulety,0,RU,1562762725,70,51.36,112.48,12.68,0.85
416,Kavaratti,99,IN,1562765744,75,10.57,72.64,29.28,8.21
417,Iraucuba,10,BR,1562704890,61,-3.75,-39.78,25.98,2.18
418,Guilin,75,CN,1562758358,94,25.28,110.29,22.0,1.0
419,Jinchang,0,CN,1562762245,58,38.52,102.19,14.08,0.98
420,Bulgan,100,MN,1562764139,88,48.81,103.53,14.08,1.49
421,Benemerito de las Americas,100,MX,1562719162,52,16.52,-90.64,31.68,2.22
422,Flinders,0,AU,1562742025,81,-34.58,150.85,9.44,5.1
423,Vanimo,95,PG,1562747943,78,-2.67,141.3,26.18,3.61
424,Cedral,0,MX,1562722423,19,23.82,-100.72,29.18,4.05
425,Buala,100,SB,1562743009,85,-8.15,159.59,26.08,6.32
426,Coquimbo,0,CL,1562709584,71,-29.95,-71.34,17.22,5.1
427,Mitsamiouli,1,KM,1562770602,78,-11.38,43.28,25.48,10.26
428,Bondo,100,CD,1562690405,97,3.81,23.69,21.08,0.23
429,Wanning,40,AT,1562699320,55,48.64,13.53,16.0,2.1
430,Prado,0,CO,1562714069,24,3.75,-74.93,36.18,4.0
431,Marihatag,56,PH,1562752684,98,8.8,126.3,20.88,0.49
432,Puerto Escondido,40,MX,1562720633,66,15.86,-97.07,31.0,3.6
433,Waipawa,100,NZ,1562734990,94,-39.94,176.59,4.44,0.72
434,Aksarka,90,RU,1562784848,72,66.56,67.8,9.88,3.09
435,Crotone,64,IT,1562696378,48,39.09,17.12,26.78,2.77
436,Turukhansk,100,RU,1562778062,82,65.8,87.96,10.98,1.98
437,Homer,75,US,1562743176,87,59.64,-151.54,22.22,2.6
438,Auki,100,NG,1562695381,80,12.18,6.51,24.38,1.76
439,Ahipara,0,NZ,1562736580,72,-35.17,173.16,14.48,5.66
440,Marsa Matruh,40,EG,1562692708,88,31.35,27.25,26.0,7.2
441,Carutapera,42,BR,1562706640,83,-1.2,-46.02,25.98,3.09
442,Aykhal,0,RU,1562772733,67,65.95,111.51,15.0,3.0
443,Asmar,0,AF,1562769062,36,35.03,71.36,18.78,1.16
444,Shellbrook,75,CA,1562729480,49,53.22,-106.39,23.0,1.5
445,Gat,14,SN,1562701179,69,14.69,-16.54,27.0,3.6
446,Celendin,40,PE,1562713791,34,-6.87,-78.15,20.0,3.1
447,Icatu,40,BR,1562706012,83,-2.77,-44.05,27.0,3.1
448,Kyaikkami,100,MM,1562760343,78,16.08,97.57,28.08,6.77
449,Zhigansk,34,RU,1562772638,91,66.77,123.37,17.38,4.31
450,Porto Novo,20,BR,1562704147,63,-23.68,-45.44,17.0,0.5
451,Filadelfia,0,PY,1562707806,36,-22.35,-60.04,27.88,3.43
452,Kigoma,0,TZ,1562774527,73,-4.88,29.64,22.0,3.19
453,Tautira,20,PF,1562729713,61,-17.73,-149.15,28.0,1.0
454,Savannah Bight,26,HN,1562718005,79,16.45,-85.85,28.48,9.76
455,Aden,100,YE,1562772601,50,12.79,45.03,33.88,3.4
456,Akdepe,0,TM,1562773173,33,42.05,59.39,28.0,1.0
457,Bodo,100,CI,1562697424,98,5.91,-4.68,22.38,1.6
458,Mustafabad,100,IN,1562766891,68,29.64,77.11,28.68,3.22
459,Takhtamygda,50,RU,1562760986,80,54.1,123.57,14.28,0.93
460,Jalpan,57,MX,1562721771,62,19.0,-100.36,24.44,5.81
461,Najran,40,SA,1562773306,12,17.54,44.22,36.0,5.1
462,Joshimath,100,IN,1562766430,99,30.57,79.57,13.78,1.09
463,Batangafo,100,CF,1562692051,90,7.3,18.29,22.88,1.12
464,Jalu,0,LY,1562693752,31,29.03,21.55,29.28,4.52
465,Vostok,100,RU,1562755792,83,46.45,135.83,17.48,0.51
466,Veraval,0,FR,1562702673,63,49.65,0.71,17.78,4.1
467,Mantua,40,IT,1562699121,83,45.16,10.79,24.0,4.1
468,Beipiao,100,CN,1562758399,60,41.8,120.76,19.48,0.41
469,Bo Rai,100,TH,1562758775,73,12.57,102.54,28.89,1.42
470,Portales,1,US,1562724465,10,34.19,-103.33,35.56,5.1
471,Peleduy,24,RU,1562766120,85,59.63,112.75,15.88,1.38
472,San Carlos,100,NI,1562717180,67,11.12,-84.78,23.89,7.15
473,Ferme-Neuve,97,CA,1562720173,33,46.7,-75.45,27.68,2.28
474,Chicama,75,PE,1562713934,77,-7.84,-79.15,20.0,4.1
475,Pastavy,72,BY,1562784570,97,55.11,26.84,10.28,3.03
476,Yar-Sale,99,RU,1562785600,69,66.83,70.83,8.18,3.26
477,Lokosovo,79,RU,1562776161,80,61.13,74.84,9.18,3.17
478,Saint-Augustin,90,CA,1562719566,33,45.63,-73.98,31.11,5.1
479,Leshukonskoye,30,RU,1562786705,76,64.9,45.76,7.78,3.22
480,Pandan,17,PH,1562753995,74,11.72,122.09,28.38,5.38
481,Sibolga,94,ID,1562758583,74,1.74,98.78,27.68,2.19
482,San Mariano,99,PH,1562754576,93,16.98,122.01,24.08,1.43
483,Svetlaya,100,RU,1562755214,93,46.54,138.33,12.08,1.15
484,Gizo,0,IL,1562777315,83,31.8,34.94,26.11,2.1
485,Portland,40,US,1562718234,33,43.66,-70.25,31.11,3.6
486,Sinnamary,1,GF,1562708959,77,5.38,-52.96,27.58,5.7
487,Dwarka,75,IN,1562766765,79,28.58,77.04,33.33,3.1
488,Deputatskiy,4,RU,0,76,69.3,139.9,17.68,1.23
489,Chekalin,12,RU,1562781933,93,54.1,36.24,12.0,4.0
490,Sao Felix do Xingu,100,BR,1562707534,79,-6.64,-51.99,24.78,1.22
491,Kouango,97,CF,1562691413,94,4.99,19.98,21.98,0.64
492,San Andres,92,PH,1562754021,90,13.32,122.68,24.98,1.21
493,Plettenberg,30,DE,1562701415,62,51.21,7.87,17.78,1.0
494,Zhanaozen,80,KZ,1562775007,44,43.35,52.85,28.48,3.01
495,Shenxian,95,CN,1562758624,75,36.24,115.67,21.48,1.05
496,Grand-Santi,93,GF,1562709189,95,4.27,-54.38,25.38,0.95
497,Gravdal,40,NO,1562705541,87,59.79,5.78,12.78,2.6
498,Chajul,100,GT,1562719145,76,15.48,-91.04,15.08,2.56
499,Dunedin,100,NZ,1562735310,83,-45.87,170.5,9.44,5.81
500,Mongo,28,CD,1562691652,70,-5.62,14.6,20.98,2.22
501,Mahajanga,0,MG,1562769423,83,-15.72,46.32,25.0,2.1
502,Gela,0,IT,1562696716,45,37.07,14.25,29.0,0.41
503,Quelimane,40,MZ,1562685037,83,-17.88,36.89,21.0,0.82
504,Wewak,33,PG,1562747297,91,-3.55,143.63,23.58,1.86
505,Naze,100,NG,1562694556,90,5.43,7.07,23.18,1.42
506,Azle,1,US,1562722883,56,32.9,-97.55,37.22,5.7
507,Durban,100,CA,1562727862,77,51.93,-101.44,20.88,5.11
508,Anadyr,0,RU,1562754917,44,64.73,177.51,24.0,2.0
509,Saint-Georges,80,CA,1562718887,40,46.12,-70.67,26.11,1.79
510,Maragogi,42,BR,1562703271,94,-9.01,-35.22,21.98,1.67
511,Matagami,100,NG,1562694667,94,9.67,8.4,20.48,1.27
512,Talnakh,75,RU,0,93,69.49,88.39,8.0,5.0
513,High Level,75,CA,1562734304,36,58.52,-117.13,18.0,3.1
514,Khor,42,RU,1562756355,92,47.88,134.96,20.18,1.77
515,Methoni,0,GR,1562781267,65,36.82,21.7,26.0,3.1
516,Gainesville,20,US,1562718765,94,29.65,-82.33,30.56,2.1
517,Yumen,43,CN,1562763800,32,40.29,97.04,20.78,7.13
518,Port Hardy,90,CA,1562733715,82,50.7,-127.42,16.0,1.5
519,Salumbar,92,IN,1562766914,77,24.14,74.05,28.18,6.08
520,Hundorp,15,NO,1562705713,68,61.55,9.94,10.56,0.89
521,Dudinka,75,RU,0,93,69.41,86.18,8.0,5.0
522,Sharjah,0,AE,1562771543,59,25.36,55.39,36.0,3.1
523,Isangel,20,VU,1562739495,87,-19.55,169.27,16.0,8.59
524,Tuatapere,100,NZ,1562735928,97,-46.13,167.69,3.89,0.89
525,Bogotol,100,RU,1562769986,89,56.21,89.53,14.08,1.65
526,Minatitlan,40,MX,1562722701,55,19.39,-104.05,31.0,5.1
527,Usinsk,90,RU,1562785749,93,66.0,57.56,5.78,4.11
528,Zyryanka,88,RU,1562762865,43,65.73,150.89,21.98,6.85
529,Preobrazheniye,39,RU,1562755465,95,42.9,133.91,13.48,1.01
530,Gamba,100,CN,1562763970,72,28.28,88.52,5.98,1.96
531,Dezhou,71,CN,1562758672,76,37.45,116.31,22.58,1.8
532,Aljezur,88,PT,1562702287,70,37.31,-8.8,21.67,5.52
533,Lisakovsk,3,KZ,1562775097,66,52.55,62.49,15.78,3.63
534,Chicomuselo,64,MX,1562719471,60,15.77,-92.27,28.78,1.79
535,Londonderry,1,US,1562718338,30,42.87,-71.37,31.11,3.1
536,Shitanjing,0,CN,1562761375,39,39.23,106.34,20.68,5.51
537,Palencia,40,ES,1562702126,56,42.01,-4.53,20.56,1.34
538,Port Blair,89,IN,1562761031,80,11.67,92.75,28.38,8.13
539,Suzun,100,RU,1562770764,94,53.78,82.32,14.78,3.76
540,Mgarr,0,MT,1562696534,54,36.03,14.29,29.0,1.0
541,Kerema,39,PG,1562746343,83,-7.96,145.78,24.78,1.72
542,Moroni,0,GR,1562780215,88,35.09,24.92,27.0,2.1
543,Erenhot,100,CN,1562760886,54,43.65,111.97,20.68,3.77
544,Petropavlovsk-Kamchatskiy,20,RU,1562752199,93,53.05,158.65,12.0,2.0
545,Summerside,40,CA,1562717300,52,46.39,-63.79,21.67,3.6
546,Tori,100,EE,1562786572,88,58.48,24.82,12.22,3.58
547,Coruripe,26,BR,1562703389,93,-10.12,-36.18,21.58,1.74
548,Orange,1,US,1562727888,37,33.79,-117.85,32.0,3.6
549,Eureka,90,US,1562730594,82,40.8,-124.16,23.33,4.6
550,Farmington,1,US,1562726043,6,36.73,-108.21,31.67,2.6
551,Christchurch,100,NZ,1562735278,93,-43.53,172.64,5.56,1.5
552,Lata,100,IN,1562766688,99,30.78,78.62,8.58,1.41
553,Kresttsy,91,RU,1562784608,96,58.25,32.52,11.08,1.91
554,Fallon,90,US,1562727325,87,46.84,-105.12,16.0,10.3
555,Sumbe,0,AO,1562691272,81,-11.2,13.84,22.08,4.27
556,Hobyo,100,SO,1562771002,74,5.35,48.53,25.68,10.92
557,Oktyabrskoye,20,RU,1562771194,93,56.73,85.44,15.56,2.0
558,Cairns,90,AU,1562745423,83,-16.92,145.77,21.0,3.6
559,Vila Velha,0,BR,1562704611,69,-3.71,-38.6,30.0,3.6
560,Shangzhi,99,CN,1562757391,84,45.21,127.96,18.88,1.14
561,Vestmanna,90,FO,1562710285,81,62.16,-7.17,10.0,7.7
562,Alofi,40,NU,1562734554,88,-19.06,-169.92,25.0,4.6
